TU,Region,1900 -> 1901,1901 -> 1902,1902 -> 1903,1903 -> 1904,1904 -> 1905,1905 -> 1906,1906 -> 1907,1907 -> 1908,1908 -> 1909,1909 -> 1910,1910 -> 1911,1911 -> 1912,1912 -> 1913,1913 -> 1914,1914 -> 1915,1915 -> 1916,1916 -> 1917,1917 -> 1918,1918 -> 1919,1919 -> 1920,1920 -> 1921,1921 -> 1922,1922 -> 1923,1923 -> 1924,1924 -> 1925,1925 -> 1926,1926 -> 1927,1927 -> 1928,1928 -> 1929,1929 -> 1930,1930 -> 1931,1931 -> 1932,1932 -> 1933,1933 -> 1934,1934 -> 1935,1935 -> 1936,1936 -> 1937,1937 -> 1938,1938 -> 1939,1939 -> 1940,1940 -> 1941,1941 -> 1942,1942 -> 1943,1943 -> 1944,1944 -> 1945,1945 -> 1946,1946 -> 1947,1947 -> 1948,1948 -> 1949,1949 -> 1950,1950 -> 1951,1951 -> 1952,1952 -> 1953,1953 -> 1954,1954 -> 1955,1955 -> 1956,1956 -> 1957,1957 -> 1958,1958 -> 1959,1959 -> 1960,1960 -> 1961,1961 -> 1962,1962 -> 1963,1963 -> 1964,1964 -> 1965,1965 -> 1966,1966 -> 1967,1967 -> 1968,1968 -> 1969,1969 -> 1970,1970 -> 1971,1971 -> 1972,1972 -> 1973,1973 -> 1974,1974 -> 1975,1975 -> 1976,1976 -> 1977,1977 -> 1978,1978 -> 1979,1979 -> 1980,1980 -> 1981,1981 -> 1982,1982 -> 1983,1983 -> 1984,1984 -> 1985,1985 -> 1986,1986 -> 1987,1987 -> 1988,1988 -> 1989,1989 -> 1990,1990 -> 1991,1991 -> 1992,1992 -> 1993,1993 -> 1994,1994 -> 1995,1995 -> 1996,1996 -> 1997,1997 -> 1998,1998 -> 1999,1999 -> 2000,2000 -> 2001,2001 -> 2002,2002 -> 2003,2003 -> 2004,2004 -> 2005,2005 -> 2006,2006 -> 2007,2007 -> 2008,2008 -> 2009,2009 -> 2010,2010 -> 2011,2011 -> 2012,2012 -> 2013,2013 -> 2014,2014 -> 2015,2015 -> 2016,2016 -> 2017,2017 -> 2018,2018 -> 2019,2019 -> 2020,2020 -> 2021,2021 -> 2022,2022 -> 2023,2023 -> 2024,2024 -> 2025,2025 -> 2026,2026 -> 2027,2027 -> 2028,2028 -> 2029,2029 -> 2030,2030 -> 2031,2031 -> 2032,2032 -> 2033,2033 -> 2034,2034 -> 2035,2035 -> 2036,2036 -> 2037,2037 -> 2038,2038 -> 2039,2039 -> 2040,2040 -> 2041,2041 -> 2042,2042 -> 2043,2043 -> 2044,2044 -> 2045,2045 -> 2046,2046 -> 2047,2047 -> 2048,2048 -> 2049,2049 -> 2050,2050 -> 2051,2051 -> 2052,2052 -> 2053,2053 -> 2054,2054 -> 2055,2055 -> 2056,2056 -> 2057,2057 -> 2058,2058 -> 2059,2059 -> 2060,2060 -> 2061,2061 -> 2062,2062 -> 2063,2063 -> 2064,2064 -> 2065,2065 -> 2066,2066 -> 2067,2067 -> 2068,2068 -> 2069,2069 -> 2070,2070 -> 2071,2071 -> 2072,2072 -> 2073,2073 -> 2074,2074 -> 2075,2075 -> 2076,2076 -> 2077,2077 -> 2078,2078 -> 2079,2079 -> 2080,2080 -> 2081,2081 -> 2082,2082 -> 2083,2083 -> 2084,2084 -> 2085,2085 -> 2086,2086 -> 2087,2087 -> 2088,2088 -> 2089,2089 -> 2090,2090 -> 2091,2091 -> 2092,2092 -> 2093,2093 -> 2094,2094 -> 2095,2095 -> 2096,2096 -> 2097,2097 -> 2098,2098 -> 2099,2099 -> 2100
TTWFossil,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.421875,242.390625,303.6875,548.859375,-46.796875,1481.828125,1075.28125,1988.328125,882.234375,1267.859375,1093.03125,844.296875,393.75,393.40625,358.109375,232.2775,1934.5625,3077.75,467.22,5436.405,1306.305,87.10000000000001,609.635,1219.2050000000002,1158.755,5944.12,16380.78,23900.175000000003,18513.495,10289.565,-2455.9275000000002,-3607.1100000000006,-30040.18875,-23832.315000000002,-23832.315000000002,107411.85,129145.786875,130230.92250000002,136576.8612,137721.36105,138874.02165,140034.48030000002,141203.46240000002,142380.24255000002,143565.3648,144758.82915000003,145960.6356,147170.60280000002,148389.09345000001,149616.2889,-61262.9316,-61832.3706,-62405.98065000001,-62983.580400000006,-63565.53255,-131978.18790000002,-133149.89025000003,-134329.57200000001,-135518.1399,-136714.68720000001,-137920.30200000003,-139134.07755000002,-140356.73925,-141588.10575000002,-142827.9957,-144076.95315000002,-145334.79675,-146601.34515,-147877.1424,-149161.82580000002,-11039.8626,-11141.055900000001,-11242.79325,-11345.6187,-11448.80685,-11552.90175,-11657.903400000001,-11763.449100000002,-11869.7202,-11976.898050000002,3784.9558500000007,3813.60915,3842.4438,3871.64115,3900.8385,3930.2172000000005,3959.9586,3989.7000000000003,4019.8041000000003,4049.9082000000008,4080.5563500000003,4111.204500000001,4141.85265,4173.04485,4204.237050000001,4235.791950000001,4267.528200000001,4299.264450000001,4331.363400000001,4363.82505,4396.286700000001,4428.929700000001,4462.11675,4495.12245,4528.490850000001,4562.22195,4595.95305,4630.2282000000005,4664.322000000001,4698.95985,4733.77905,4768.598250000001,4803.7801500000005,4839.324750000001,4875.050700000001,4910.9580000000005,4947.04665,4983.4980000000005,5019.949350000001,5056.944750000001
TTWElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.065,0.0975,0.2925,3.0225,55.185,110.8575,279.19124999999997,251.55,410.37750000000005,34552.87875,41547.63375,41900.045625,43945.09470000001,44316.680850000004,44690.987250000006,45068.013900000005,45447.398100000006,45829.6839,46214.5086,46602.053550000004,46992.500100000005,47385.485550000005,47781.19125,48179.61720000001,-1425.95505,-1449.3492,-1473.10605,-1496.8629,-1520.9824500000002,-1582.8228000000001,-1607.6677500000003,-1632.5127000000002,-1657.9017000000003,-1683.10935,-1708.6797000000001,-1734.6127500000002,-1760.5458,-1786.6602000000003,-1813.1373000000003,-1839.9771000000003,-1866.63555,-1893.83805,-1921.04055,-1948.7871000000002,-2726.0532000000003,-2760.5097,-2795.14755,-2830.32945,-2865.51135,-2901.0559500000004,-2936.9632500000002,-2973.0519,-3009.3219,-3046.1359500000003,-2744.7322500000005,-2779.1887500000003,-2813.64525,-2848.46445,-2883.8277000000003,-2919.0096000000003,-2954.9169,-2990.8242000000005,-3027.0942000000005,-3063.7269,-3100.54095,-3137.7177,-3175.0758,-3212.7966,-3250.69875,-3289.14495,-3327.7725,-3366.5814,-3405.7530000000006,-3445.4686500000003,-3485.0029500000005,-3525.26265,-3565.7037,-3606.50745,-3647.49255,-3688.8403500000004,-3730.732200000001,-3772.6240500000004,-3814.8786,-3857.6772000000005,-3900.4758000000006,-3943.9998,-3987.5238,-4031.5918500000007,-4075.84125,-4120.6347000000005,-4165.6095000000005,-4210.947,-4256.4658500000005,-4302.7101
TTWHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLDVFossil,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13476.40625,9907.5,10963.5625,14700.46875,6340.53125,28993.75,23613.875,38023.71875,21949.4375,28458.84375,26363.09375,22979.71875,16161.25,16468.3125,16195.8125,25640.68,55288.675,76419.395,32124.04,89987.88500000001,28080.0,59930.0,52260.0,44200.0,26000.0,40168.18,38999.22,-1365.585,38997.66,48720.75,48229.545000000006,8673.6,364973.60250000004,-99062.14500000002,-66558.0825,11523.6225,11419.81875,9024.60375,6813.3195,4158.355500000001,1418.8824000000002,-1406.9133000000002,-4321.9332,-7327.628100000001,-10425.811500000002,-13619.385,-16909.7994,-20300.681700000005,-23792.394600000003,-27388.9278,-129081.30300000001,-135955.9188,-143014.4235,-150259.7187,-157697.24490000002,-468490.5225,-485799.2919,-503534.59650000004,-521706.2292,-540322.1694,-559393.2981,-578927.5947,-598936.6656000001,-619429.5783,-640416.4884,-661907.9142,-683915.4621000001,-706448.5623000001,-729519.1839000001,-753138.5706000001,-37792.6146,-39428.028900000005,-41105.879100000006,-42825.8025,-44590.338,-46398.760200000004,-48253.2453,-50154.156,-52102.580400000006,-54099.9693,38374.748100000004,39231.44550000001,40105.5525,40997.7945,41907.4461,42835.9581,43782.967800000006,44749.200600000004,45735.38190000001,46740.78630000001,47766.8646,48813.6168,49881.0429,50970.23100000001,52081.18110000001,53214.61860000001,54370.5435,55549.681200000006,56752.0317,57979.0458,59229.998100000004,60506.33940000001,61807.70700000001,63135.189000000006,64489.148100000006,65869.94700000001,67277.94840000001,68713.87770000001,70178.4603,71672.0589,73195.3989,74748.1176,76332.02850000001,77947.13160000001,79594.1523,81273.45330000001,82985.76000000001,84732.16050000001,86512.2921,88327.60560000001
PLDVElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.78,0.585,2.34,29.25,520.455,1076.4,2815.6050000000005,2878.2,4950.5625,16899.1875,19842.131250000002,19842.131250000002,20635.816500000004,20635.816500000004,20635.816500000004,20635.816500000004,20636.179200000002,20635.816500000004,20635.816500000004,20635.816500000004,20635.816500000004,20635.816500000004,20636.179200000002,20635.816500000004,-2064.8511000000003,-2064.8511000000003,-2065.2138,-2064.8511000000003,-2064.8511000000003,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.5499000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.9126000000001,-702.5499000000001,-702.9126000000001,-2584.6002000000003,-2584.6002000000003,-2584.6002000000003,-2584.6002000000003,-2584.2375,-2584.6002000000003,-2584.6002000000003,-2584.6002000000003,-2584.2375,-2584.6002000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.6289,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.6289,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.6289,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.6289,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.6289,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003,-2432.9916000000003
PLDVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.79250000000002,536.4449999999999,1645.02,3719.1375000000003,3920.2987500000004,3496.21875,4263.9012,4263.9012,4263.9012,4263.9012,4263.9012,4263.9012,4264.2639,4263.9012,4263.9012,4263.9012,4263.9012,4263.9012,-420.73199999999997,-420.36930000000007,-420.73199999999997,-420.36930000000007,-420.73199999999997,-3514.5630000000006,-3514.9257000000007,-3514.9257000000007,-3514.5630000000006,-3514.9257000000007,-3514.9257000000007,-3514.5630000000006,-3514.9257000000007,-3514.9257000000007,-3514.9257000000007,-3514.5630000000006,-3514.9257000000007,-3514.9257000000007,-3514.5630000000006,-3514.9257000000007,-98.2917,-97.92900000000002,-98.2917,-97.92900000000002,-98.2917,-97.92900000000002,-98.2917,-98.2917,-97.92900000000002,-98.2917,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.1258,-92.4885,-92.4885,-92.4885,-92.1258
PLDVHydrogen,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCVFossil,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.9375,1326.96875,1514.875,2233.4375,540.15625,4982.4375,3855.4375,6589.0625,3394.5,4584.1875,4114.53125,3411.46875,2079.84375,2099.9375,2012.375,2636.5950000000003,7974.785,11660.415,3536.9100000000003,67938.065,2670.46,4205.24,4322.24,4043.52,2892.89,3047.98,3821.61,5379.8550000000005,3402.555,2823.9900000000002,-7720.83,-1487.2649999999999,4574.4075,24176.88,10070.482500000002,1768.455,3221.7525,4273.23375,5480.397000000001,6465.1275000000005,52500.46230000001,53346.64140000001,54206.24040000001,55078.8966,55965.33540000001,61771.437000000005,68840.09730000001,70250.6376,71687.655,73150.7868,68776.2621,70129.85850000002,71508.11850000001,72910.67940000001,74338.99200000001,129981.16170000001,132973.07400000002,136023.01830000003,139132.80810000002,142302.44340000002,145533.375,148827.05370000002,152184.2049,155606.2794,159093.6399,162648.46260000003,166271.83560000002,169963.75890000002,173727.1341,177561.96120000002,-24550.800300000003,-26317.149300000005,-28128.1104,-29984.7717,-31887.4959,-33837.371100000004,-35835.485400000005,-37883.289600000004,-39980.421,-42129.41850000001,-28681.9533,-30499.443,-32361.9075,-34270.4349,-36226.113300000005,-38229.305400000005,-40282.1874,-42383.671200000004,-44537.021100000005,-46741.8744,-48999.319200000005,-51311.169,-53677.423800000004,-56099.89710000001,-58579.67700000001,-61117.8516,-63715.14630000001,-66373.01190000001,-69093.26190000001,-71875.53360000001,-74722.72860000002,-77634.8469,-80614.4274,-83661.10740000001,-86777.78850000001,-89965.19610000002,-93224.0556,-96556.90590000001,-99964.1097,-103448.2059,-107009.91990000002,-110650.3398,-114372.0045,-118176.00210000001,-122063.7834,-126036.79920000001,-130097.58840000001,-134246.5137,-138485.75130000003,-142817.8401
LCVElec,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53125,0.90625,1.09375,1.625,0.28125,3.78125,2.875,5.0,2.53125,3.40625,3.0625,2.46875,1.46875,1.46875,1.375,1.7550000000000001,5.785,8.645,2.34,24.44,46.475,42.64,24.57,30.68,-8.19,-2.34,35.230000000000004,-101.01,60.644999999999996,-100.035,72.735,675.285,1482.0975,1120.275,1278.8100000000002,2776.1175000000003,3359.50875,3409.03125,3597.9840000000004,3650.9382000000005,3704.6178000000004,3758.6601,3813.7905000000005,3868.9209000000005,3924.7767000000003,3981.7206000000006,4038.6645000000008,4097.059200000001,4155.0912,4214.5740000000005,-361.24920000000003,-370.67940000000004,-379.74690000000004,-389.17710000000005,-398.97,180.98730000000003,180.26190000000003,179.1738,178.08570000000003,177.36030000000002,176.27220000000003,175.54680000000002,174.45870000000002,173.37060000000002,172.2825,171.19440000000003,170.1063,169.0182,167.56740000000002,166.842,5556.201300000001,5635.6326,5716.514700000001,5797.759500000001,5880.4551,5963.513400000001,6048.0225,6132.894300000001,6219.2169,6306.264900000001,3947.6268000000005,4000.2183000000005,4052.8098,4106.126700000001,4159.8063,4214.5740000000005,4269.7044000000005,4325.1975,4381.7787,4438.3599,4496.029200000001,4554.0612,4612.8186000000005,4672.3014,4732.146900000001,4792.7178,4854.0141,4916.035800000001,4978.4202000000005,5041.53,5105.727900000001,5169.925800000001,5235.574500000001,5301.2232,5367.96,5435.422200000001,5503.2471000000005,5572.1601,5641.798500000001,5711.7996,5782.888800000001,5854.340700000001,5926.880700000001,6000.146100000001,6074.1369,6148.8531,6224.2947,6300.461700000001,6377.7168,6455.6973
LCVPlugInHybrid,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.2825,916.515,930.11625,981.8289000000001,996.3369,1010.8449000000002,1026.0783000000001,1041.3117000000002,1056.1824000000001,1071.7785000000001,1087.3746,1103.3334,1118.9295000000002,1135.251,1151.5725,-86.68530000000001,-88.8615,-90.675,-93.21390000000001,-95.3901,43.161300000000004,43.161300000000004,42.79860000000001,42.79860000000001,42.435900000000004,42.07320000000001,42.07320000000001,41.7105,41.7105,40.9851,41.34780000000001,40.622400000000006,40.2597,40.2597,39.897000000000006,1330.3836000000001,1349.6067,1368.8298000000002,1388.0529000000001,1408.3641,1427.9499,1447.8984000000003,1468.5723,1489.2462000000003,1509.9201,945.5589000000001,957.5280000000001,970.5852000000001,983.2797,995.9742000000001,1009.0314000000001,1022.4513000000001,1035.8712,1048.9284,1063.0737,1076.4936000000002,1090.2762,1104.7842,1118.5668000000003,1133.0748,1147.5828000000001,1162.4535,1176.9615000000001,1192.1949000000002,1207.0656000000001,1222.6617,1237.8951000000002,1253.4912000000002,1269.45,1285.4088000000002,1301.3676,1318.0518000000002,1334.0106,1351.0575000000001,1367.7417,1384.4259000000002,1401.8355000000001,1419.2451,1436.6547,1454.4270000000001,1472.5620000000001,1490.3343000000002,1508.4693000000002,1527.3297,1545.8274000000001
